text,is_job,confidence,reason,channel,date,message_id,processed_at
"I Built a Buy Me a Coffee Clone With React JS & Tailwind CSS 🤩

Complete Step-by-Step Tutorial 👇🏻

https://youtu.be/oUil6DcWOqg?si=o7NS1vgnxMrus13-",False,0.7103860135207123,ML prediction: not a job (confidence: 0.71),codingmaster52,2026-01-15 11:36:58,4892,2026-01-19 21:37:08.080000
"Adobe is hiring 
Position: Software Development Engineer
Qualifications: Bachelor’s Degree
Experience: Experienced
Location: Bangalore, India

📌Apply Now: https://careers.adobe.com/us/en/job/R164156/Software-Development-Engineer

WhatsApp Channel 👇🏻
https://whatsapp.com/channel/0029Vaih6rGBKfi2uujzrm0X",True,0.95,"Strong job signals: keywords, title, skills, application",codingmaster52,2026-01-09 14:37:01,4891,2026-01-19 21:33:12.444000
"VectorShift is hiring!
Role: Frontend Engineer 
Salary: 12-24 LPA
Location: Remote
Experience: 0 years 
Apply here:
https://devsunite.com/job/695c9d8900248a1a84ac?tag=norm

Quickhyre AI is hiring!
Role: Fullstack Engineer 
Salary: 14-21 LPA
Location: Hyderabad 
Experience: 3 years
Apply here:
https://devsunite.com/job/695ca07c001c1679ae87?tag=norm

Joveo is hiring!
Role: Backend Intern 
Salary: 3-4 LPA
Location: Hyderabad 
Experience: 0 years 
Apply here:
https://devsunite.com/job/695c9d89002474887fd4?tag=norm

👉 WhatsApp Channel:
https://whatsapp.com/channel/0029Vaih6rGBKfi2uujzrm0X",True,0.95,"Strong job signals: keywords, title, skills, application",codingmaster52,2026-01-06 13:07:16,4890,2026-01-17 10:06:39.752000
"Microsoft is hiring SDE 

For 2021, 2022, 2023, 2024 gards

https://www.linkedin.com/posts/himanshu-garg-65a09020_senior-software-engineer-microsoft-careers-activity-7413919102316019712-Qxvf?utm_source=share&utm_medium=member_android&rcm=ACoAADcYLRgBJmsLNWvacCtmAInFWe0W5S4QEzg

Join WhatsApp Channel 👇🏻
https://whatsapp.com/channel/0029Vaih6rGBKfi2uujzrm0X",True,0.6423693630131773,ML prediction: job (confidence: 0.64),codingmaster52,2026-01-05 16:45:59,4888,2026-01-17 10:06:40.093000
"UIPath is hiring Software Engineer (Python)

For 2022, 2023, 2024, 2025 grads
Location: Jaipur

https://jobs.ashbyhq.com/uipath/8fcc9baf-8bcb-4db4-a3b8-072b41cf5ae1

Join WhatsApp Channel 👇🏻
https://whatsapp.com/channel/0029Vaih6rGBKfi2uujzrm0X",True,0.6575747322053885,ML prediction: job (confidence: 0.66),codingmaster52,2026-01-05 16:43:47,4887,2026-01-19 20:57:48.668000
"Cisco is hiring 
Position: Software Engineer
Qualifications: Bachelor’s Degree
Experience: Entry Level
Location: Bangalore India (Hybrid)
﻿
📌Apply Now: https://careers.cisco.com/global/en/job/CISCISGLOBAL2005321EXTERNALENGLOBAL/Software-Engineer

👉WhatsApp Channel: https://whatsapp.com/channel/0029Vaih6rGBKfi2uujzrm0X",True,0.95,"Strong job signals: keywords, title, skills, application",codingmaster52,2026-01-04 13:35:32,4886,2026-01-19 21:37:11.395000
"Kran Consulting is hiring!
Role: Software Engineer Intern 
Salary: competitive 
Experience: 0 years 
Location: India
Apply here:
https://devsunite.com/job/695a1101003d3b9c2000?tag=norm

Wikasta is hiring!
Role: Software Development Engineer 
Salary: 4-10 LPA
Location: India
Experience: 0 years 
Apply here:
https://devsunite.com/job/695a557000104caa144e?tag=norm

Vidyalai is hiring!
Role: Full Stack Developer 
Salary: 3 LPA
Location: Cochin
Experience: 0 years 
Apply here:
https://devsunite.com/job/695a5570001032460589?tag=norm

👉 WhatsApp Channel:
https://whatsapp.com/channel/0029Vaih6rGBKfi2uujzrm0X",True,0.95,"Strong job signals: keywords, title, skills, application",codingmaster52,2026-01-04 13:34:10,4885,2026-01-19 21:33:12.672000
"Top 10 High Paying Tech Skills in 2026 That AI Can’t Replace 😱

Must Watch for Freshers 🔥👇

https://youtu.be/1sF0Cxpx7QI?si=Cney3PU-rnzF65Vv",False,0.6161317664777652,ML prediction: not a job (confidence: 0.62),codingmaster52,2025-12-24 12:34:07,4883,2026-01-17 10:06:40.378000
"IBM is hiring!
Role: Software Developer Automation 
Salary: 7-14 LPA
Location: Gujrat
Experience: 0 years 
Apply here:
https://devsunite.com/jobs/u1DCTdmpPR8OoZlOWDjr

Ventra Health is hiring!
Role: Senior Software Developer 
Salary: competitive 
Location: Hyderabad 
Apply here:
https://devsunite.com/jobs/NuRz053kYauQQet7JtTQ

Mastercard is hiring!
Role: Software Engineer II
Salary: competitive 
Location: Navi Mumbai
Apply here:
https://devsunite.com/job/694a1b500032f5ca9700?tag=norm

👉 WhatsApp Channel:
https://whatsapp.com/channel/0029Vaih6rGBKfi2uujzrm0X",True,0.95,"Strong job signals: keywords, title, skills, application",codingmaster52,2025-12-24 05:56:03,4882,2026-01-17 10:06:40.417000
"Internship at Google for 2028 Batch 

Here's the link to apply 😺 
https://www.google.com/about/careers/applications/jobs/results/140779051512931014-associate-software-developer-intern-2026-english

WhatsApp Channel - 
https://whatsapp.com/channel/0029Vaih6rGBKfi2uujzrm0X",True,0.6642968872826219,ML prediction: job (confidence: 0.66),codingmaster52,2025-12-24 02:57:38,4881,2026-01-19 21:37:11.648000
